episode,score,max_tile,steps
1,6512,512,500
2,7180,512,500
3,6232,256,500
4,6640,512,500
5,6648,512,500
6,6472,512,500
7,6508,512,500
8,6824,512,500
9,6936,512,500
10,5956,256,500
11,5628,256,500
12,6864,512,500
13,6344,256,500
14,6668,512,500
15,6508,512,500
16,6188,256,500
17,6312,256,500
18,6240,256,500
19,5648,256,500
20,6840,512,500
21,6156,256,500
22,6880,512,500
23,6748,512,500
24,6792,512,500
25,7084,512,500
26,6596,512,500
27,7180,512,500
28,6472,512,500
29,6832,512,500
30,6084,256,500
31,6688,512,500
32,6536,512,500
33,7240,512,500
34,6656,512,500
35,6836,512,500
36,6124,256,500
37,7124,512,500
38,7328,512,500
39,6092,256,500
40,6792,512,500
41,6660,512,500
42,5968,256,500
43,6116,256,500
44,5948,256,500
45,6252,256,500
46,5428,256,500
47,6956,512,500
48,6528,512,500
49,6364,256,500
50,6708,512,500
51,6676,256,500
52,6772,512,500
53,7200,512,500
54,6172,256,500
55,7128,512,500
56,6980,512,500
57,6756,512,500
58,6584,512,500
59,6156,256,500
60,6552,512,500
61,7184,512,500
62,7000,512,500
63,7164,512,500
64,6692,512,500
65,7080,512,500
66,6080,256,500
67,7220,512,500
68,7168,512,500
69,7140,512,500
70,6180,256,500
71,6120,256,500
72,6208,256,500
73,6200,256,500
74,7216,512,500
75,7076,512,500
76,6168,512,500
77,6220,256,500
78,9256,1024,500
79,5636,256,500
80,5868,256,500
81,6812,512,500
82,6152,256,500
83,7112,512,500
84,6420,256,500
85,5768,256,500
86,5640,256,500
87,6732,512,500
88,6104,256,500
89,6968,512,500
90,5812,256,500
91,6556,256,500
92,6572,512,500
93,7176,512,500
94,6168,256,500
95,6712,512,500
96,6904,512,500
97,7132,512,500
98,6820,512,500
99,6468,512,500
100,7232,512,500
101,6040,256,500
102,7228,512,500
103,5712,256,500
104,7172,512,500
105,5456,256,500
106,7432,512,500
107,6348,512,500
108,5932,256,500
109,6128,256,500
110,5804,256,500
111,6820,512,500
112,6368,256,500
113,6240,256,500
114,6996,512,500
115,6908,512,500
116,6136,256,500
117,7208,512,500
118,6184,256,500
119,6180,256,500
120,7196,512,500
121,6948,512,500
122,6692,512,500
123,6220,256,500
124,6236,256,500
125,6996,512,500
126,7196,512,500
127,6688,512,500
128,5800,256,500
129,5480,256,500
130,7136,512,500
131,6644,512,500
132,6968,512,500
133,6968,512,500
134,6360,256,500
135,7280,512,500
136,6916,512,500
137,7256,512,500
138,6868,512,500
139,6960,512,500
140,6812,512,500
141,6736,512,500
142,7204,512,500
143,6788,512,500
144,7332,512,500
145,6164,256,500
146,7056,512,500
147,7092,512,500
148,6824,512,500
149,6344,256,500
150,6888,512,500
151,7188,512,500
152,7216,512,500
153,7160,512,500
154,7180,512,500
155,7272,512,500
156,6684,512,500
157,6376,512,500
158,6500,512,500
159,6216,256,500
160,6496,512,500
161,5604,256,500
162,7172,512,500
163,6672,512,500
164,7336,512,500
165,7056,512,500
166,7172,512,500
167,6956,512,500
168,4924,128,500
169,6692,512,500
170,6236,256,500
171,5648,256,500
172,6016,256,500
173,6828,512,500
174,7024,512,500
175,7196,512,500
176,6220,256,500
177,7068,512,500
178,6064,256,500
179,7124,512,500
180,6288,256,500
181,7200,512,500
182,6404,512,500
183,7380,512,500
184,6828,512,500
185,6380,256,500
186,7160,512,500
187,6400,256,500
188,6288,256,500
189,6432,256,500
190,5756,256,500
191,7088,512,500
192,6404,256,500
193,6172,256,500
194,6512,256,500
195,6256,256,500
196,6960,512,500
197,5604,256,500
198,6500,256,500
199,6280,256,500
200,6612,512,500
201,5680,256,500
202,7136,512,500
203,7184,512,500
204,7216,512,500
205,7012,512,500
206,5868,256,500
207,7140,512,500
208,6752,512,500
209,7000,512,500
210,6420,256,500
211,7240,512,500
212,7156,512,500
213,5548,256,500
214,7092,512,500
215,6756,512,500
216,6200,256,500
217,7196,512,500
218,5804,256,500
219,6824,512,500
220,7172,512,500
221,6848,512,500
222,6168,256,500
223,6692,512,500
224,7132,512,500
225,7224,512,500
226,6860,512,500
227,6864,512,500
228,5924,256,500
229,6112,256,500
230,7328,512,500
231,7032,512,500
232,7128,512,500
233,6436,256,500
234,6940,512,500
235,6648,512,500
236,5696,256,500
237,6640,512,500
238,7224,512,500
239,6484,256,500
240,6536,256,500
241,6832,512,500
242,6076,256,500
243,7312,512,500
244,6764,512,500
245,6444,256,500
246,7068,512,500
247,6872,512,500
248,6396,512,500
249,5988,256,500
250,6868,512,500
251,6424,256,500
252,6956,512,500
253,5932,256,500
254,7324,512,500
255,7192,512,500
256,7308,512,500
257,6044,256,500
258,6420,512,500
259,7388,512,500
260,7244,512,500
261,6240,256,500
262,6156,256,500
263,5632,256,500
264,6336,256,500
265,6256,256,500
266,6964,512,500
267,7192,512,500
268,6572,512,500
269,7148,512,500
270,7132,512,500
271,6624,512,500
272,6428,256,500
273,6120,256,500
274,6356,256,500
275,5816,256,500
276,6024,256,500
277,6172,256,500
278,6988,512,500
279,7304,512,500
280,6056,256,500
281,6064,256,500
282,7436,512,500
283,5792,256,500
284,6080,256,500
285,7428,512,500
286,6696,512,500
287,7092,512,500
288,5828,256,500
289,6420,256,500
290,7376,512,500
291,6708,512,500
292,7120,512,500
293,7300,512,500
294,7052,512,500
295,6832,512,500
296,6192,256,500
297,7184,512,500
298,7312,512,500
299,6084,256,500
300,7012,512,500
301,6192,256,500
302,5940,256,500
303,7136,512,500
304,6768,512,500
305,7152,512,500
306,6712,512,500
307,6444,256,500
308,7136,512,500
309,6716,512,500
310,7156,512,500
311,7316,512,500
312,6272,256,500
313,6108,256,500
314,7312,512,500
315,5568,256,500
316,7264,512,500
317,7428,512,500
318,6192,256,500
319,7228,512,500
320,6676,512,500
321,6080,256,500
322,6428,256,500
323,6636,512,500
324,7372,512,500
325,7256,512,500
326,7260,512,500
327,6688,256,500
328,6152,256,500
329,7020,512,500
330,6976,512,500
331,5760,256,500
332,7572,512,500
333,6096,256,500
334,7188,512,500
335,6448,256,500
336,7696,512,500
337,6560,512,500
338,7328,512,500
339,6680,512,500
340,6676,512,500
341,7136,512,500
342,6988,512,500
343,7156,512,500
344,6648,512,500
345,6304,256,500
346,6948,512,500
347,7076,512,500
348,6352,256,500
349,7184,512,500
350,7168,512,500
351,7344,512,500
352,7212,512,500
353,6432,256,500
354,6376,256,500
355,7236,512,500
356,7168,512,500
357,6600,512,500
358,6768,512,500
359,6376,256,500
360,6432,256,500
361,6188,256,500
362,5912,256,500
363,7224,512,500
364,6560,256,500
365,6272,256,500
366,6612,512,500
367,6624,512,500
368,7308,512,500
369,5932,256,500
370,6312,256,500
371,6804,512,500
372,7272,512,500
373,6316,256,500
374,7272,512,500
375,6084,256,500
376,7236,512,500
377,7224,512,500
378,6636,256,500
379,6428,256,500
380,6484,512,500
381,6236,256,500
382,6360,256,500
383,6532,512,500
384,6800,512,500
385,6888,512,500
386,6140,256,500
387,6800,512,500
388,5824,256,500
389,6404,256,500
390,5716,256,500
391,7212,512,500
392,6696,512,500
393,6304,256,500
394,7220,512,500
395,7284,512,500
396,6792,512,500
397,7052,512,500
398,7308,512,500
399,6100,256,500
400,6552,256,500
401,6824,512,500
402,6764,512,500
403,7316,512,500
404,7144,512,500
405,7040,512,500
406,6188,256,500
407,7272,512,500
408,6992,512,500
409,7332,512,500
410,5532,256,500
411,7172,512,500
412,7440,512,500
413,6368,256,500
414,6452,256,500
415,6612,512,500
416,7328,512,500
417,6856,256,500
418,7292,512,500
419,6680,512,500
420,7248,512,500
421,7316,512,500
422,6236,256,500
423,7320,512,500
424,7068,512,500
425,6392,512,500
426,7096,512,500
427,6752,256,500
428,6792,256,500
429,6800,512,500
430,6324,256,500
431,7204,512,500
432,6576,256,500
433,7192,512,500
434,6464,512,500
435,7244,512,500
436,6468,256,500
437,6284,256,500
438,7176,512,500
439,7120,512,500
440,7188,512,500
441,6028,256,500
442,6200,256,500
443,5636,256,500
444,7260,512,500
445,6152,256,500
446,7200,512,500
447,6500,256,500
448,6296,256,500
449,6408,256,500
450,7064,512,500
451,6648,512,500
452,6360,256,500
453,6832,512,500
454,6312,256,500
455,6208,256,500
456,7464,512,500
457,6164,256,500
458,6436,256,500
459,7420,512,500
460,7308,512,500
461,6512,512,500
462,6436,256,500
463,6664,512,500
464,7712,512,500
465,7204,512,500
466,7332,512,500
467,7080,512,500
468,6628,256,500
469,7160,512,500
470,7112,512,500
471,7068,512,500
472,6684,512,500
473,7192,512,500
474,6148,256,500
475,6356,256,500
476,7216,512,500
477,6116,256,500
478,6472,256,500
479,7080,512,500
480,7248,512,500
481,7224,512,500
482,7324,512,500
483,6952,512,500
484,6496,256,500
485,7188,512,500
486,7120,512,500
487,6340,256,500
488,6616,512,500
489,7008,512,500
490,6452,512,500
491,6432,256,500
492,5704,256,500
493,7328,512,500
494,7696,512,500
495,6644,512,500
496,7216,512,500
497,7140,512,500
498,7200,512,500
499,7080,512,500
500,6296,256,500
501,6228,256,500
502,6280,256,500
503,7208,512,500
504,6328,256,500
505,6776,512,500
506,7208,512,500
507,7332,512,500
508,7312,512,500
509,7328,512,500
510,5848,256,500
511,6068,256,500
512,6980,512,500
513,6272,256,500
514,7176,512,500
515,6860,512,500
516,6312,256,500
517,6412,256,500
518,7356,512,500
519,6428,512,500
520,6324,256,500
521,6984,512,500
522,6452,256,500
523,6680,256,500
524,6508,512,500
525,7324,512,500
526,7004,512,500
527,7252,512,500
528,6564,256,500
529,5836,256,500
530,6052,256,500
531,6716,512,500
532,7196,512,500
533,6824,512,500
534,6288,256,500
535,6268,256,500
536,7188,512,500
537,7212,512,500
538,6832,512,500
539,6504,256,500
540,7280,512,500
541,6328,256,500
542,5776,256,500
543,7276,512,500
544,6700,256,500
545,7288,512,500
546,6188,256,500
547,6916,512,500
548,6240,256,500
549,6400,256,500
550,7068,512,500
551,7192,512,500
552,6900,512,500
553,5968,256,500
554,7176,512,500
555,7304,512,500
556,5892,256,500
557,7144,512,500
558,7192,512,500
559,7268,512,500
560,6288,256,500
561,6024,256,500
562,7248,512,500
563,7076,512,500
564,6348,256,500
565,6716,512,500
566,5736,256,500
567,6488,256,500
568,7148,512,500
569,7324,512,500
570,5044,128,500
571,7048,512,500
572,7268,512,500
573,7204,512,500
574,5824,256,500
575,6324,256,500
576,5820,256,500
577,7148,512,500
578,7308,512,500
579,7172,512,500
580,7324,512,500
581,6084,256,500
582,7196,512,500
583,7260,512,500
584,7136,512,500
585,6752,256,500
586,6824,512,500
587,6304,256,500
588,6084,256,500
589,6856,512,500
590,6776,512,500
591,7360,512,500
592,6604,512,500
593,6748,512,500
594,7196,512,500
595,7192,512,500
596,6468,256,500
597,6556,256,500
598,6876,512,500
599,7316,512,500
600,6444,256,500
601,7276,512,500
602,6884,512,500
603,6716,512,500
604,6344,256,500
605,6088,256,500
606,7332,512,500
607,7260,512,500
608,6356,256,500
609,6252,256,500
610,6396,256,500
611,6452,256,500
612,7320,512,500
613,6752,512,500
614,7240,512,500
615,6564,256,500
616,6120,256,500
617,7336,512,500
618,7232,512,500
619,7248,512,500
620,7224,512,500
621,6180,256,500
622,7264,512,500
623,5768,256,500
624,6872,512,500
625,6180,256,500
626,6996,512,500
627,7300,512,500
628,6044,256,500
629,6320,256,500
630,7068,512,500
631,7084,512,500
632,6568,256,500
633,6180,256,500
634,6704,512,500
635,6112,256,500
636,7332,512,500
637,7328,512,500
638,5884,256,500
639,7172,512,500
640,6960,512,500
641,6564,256,500
642,6436,256,500
643,7112,512,500
644,6200,256,500
645,7236,512,500
646,6928,512,500
647,6688,512,500
648,7144,512,500
649,6324,256,500
650,7292,512,500
651,6308,256,500
652,5856,256,500
653,7308,512,500
654,6340,256,500
655,5460,256,500
656,7180,512,500
657,6792,512,500
658,7204,512,500
659,6364,256,500
660,6296,256,500
661,7236,512,500
662,7224,512,500
663,7268,512,500
664,6836,512,500
665,6304,256,500
666,6404,256,500
667,7356,512,500
668,7240,512,500
669,7148,512,500
670,7000,512,500
671,7268,512,500
672,5688,256,500
673,7304,512,500
674,7372,512,500
675,6200,256,500
676,7216,512,500
677,6492,256,500
678,7192,512,500
679,7200,512,500
680,6984,512,500
681,6564,256,500
682,6952,512,500
683,7328,512,500
684,6000,256,500
685,7212,512,500
686,7264,512,500
687,7348,512,500
688,6044,256,500
689,6304,256,500
690,7376,512,500
691,6372,256,500
692,6380,256,500
693,7288,512,500
694,7264,512,500
695,7328,512,500
696,6196,256,500
697,7312,512,500
698,7068,512,500
699,7248,512,500
700,6220,256,500
