episode,score,max_tile,steps
1,772,64,100
2,1164,128,121
3,1568,128,164
4,3504,256,296
5,2232,128,214
6,4212,256,343
7,4460,512,307
8,1672,128,169
9,3296,256,277
10,5812,512,418
11,2696,256,224
12,2860,256,233
13,3100,256,255
14,3104,256,256
15,2188,128,208
16,3680,256,304
17,5204,512,365
18,1792,128,184
19,10452,1024,609
20,3980,256,316
21,504,64,73
22,3280,256,273
23,1808,128,187
24,2808,256,230
25,1064,64,130
26,2508,256,219
27,3412,256,283
28,1608,128,163
29,3324,256,275
30,3224,256,270
31,4132,256,332
32,1416,128,147
33,6668,512,459
34,5292,512,360
35,1608,128,169
36,3212,256,271
37,1704,128,171
38,1552,128,160
39,2956,256,250
40,2740,256,235
41,3396,256,281
42,2496,256,217
43,1804,128,186
44,1492,128,157
45,3816,256,321
46,4256,256,355
47,2296,128,218
48,5732,512,405
49,1408,128,143
50,2796,256,243
51,4060,256,328
52,5492,512,388
53,3668,256,305
54,3272,256,271
55,2460,256,211
56,3628,256,295
57,3136,256,266
58,4192,256,344
59,3516,256,298
60,3500,256,294
61,1372,128,144
62,3700,256,294
63,5608,512,401
64,5488,512,387
65,3420,256,290
66,3112,256,258
67,5020,512,340
68,3580,256,288
69,2544,128,243
70,3596,256,306
71,2856,256,246
72,5644,512,384
73,1632,128,161
74,1828,128,185
75,1556,128,161
76,5728,512,404
77,5504,512,392
78,4764,512,325
79,7060,512,482
80,5180,256,404
81,5600,512,389
82,3456,256,287
83,4180,256,340
84,3556,256,297
85,2568,128,238
86,4388,256,356
87,4324,256,360
88,5220,256,409
89,5664,512,400
90,7452,512,526
91,4080,256,328
92,3992,256,326
93,1616,128,172
94,7196,512,499
95,2828,128,265
96,7788,512,535
97,4188,256,338
98,5752,512,406
99,7440,512,522
100,3344,256,277
101,4800,256,390
102,2856,256,246
103,7832,512,560
104,3084,128,284
105,2120,128,205
106,3608,256,304
107,3036,256,262
108,3348,256,274
109,4568,256,379
110,6520,512,472
111,3992,256,341
112,4808,512,337
113,4256,256,351
114,3268,256,269
115,8168,512,550
116,3172,256,268
117,7256,512,496
118,5536,512,388
119,7700,512,533
120,5408,512,377
121,7944,512,546
122,5692,512,399
123,5960,512,426
124,3576,256,302
125,6104,512,440
126,6040,512,434
127,9768,512,676
128,3816,256,320
129,8960,512,613
130,9188,512,588
131,3500,256,290
132,8240,512,563
133,6328,512,456
134,7740,512,529
135,3944,256,339
136,3728,256,314
137,6648,512,488
138,7208,512,516
139,6024,512,444
140,4432,256,363
141,7464,512,517
142,3620,256,293
143,4560,256,363
144,816,64,105
145,6600,512,446
146,6668,512,470
147,3712,256,310
148,2748,256,235
149,2332,128,223
150,4060,256,338
151,9000,512,624
152,7548,512,533
153,7444,512,512
154,8732,512,583
155,4144,256,338
156,8248,512,584
157,4312,256,338
158,5900,512,412
159,8208,512,575
160,12884,1024,784
161,6032,512,430
162,9188,512,639
163,7436,512,515
164,8040,512,535
165,7120,512,484
166,6804,512,474
167,13244,1024,790
168,7564,512,526
169,9432,512,642
170,3728,256,314
171,7308,512,525
172,3488,256,295
173,4624,256,385
174,8752,512,604
175,6384,512,466
176,8068,512,561
177,5568,512,391
178,8524,512,576
179,3384,256,280
180,6772,512,492
181,3780,256,315
182,15036,1024,894
183,8132,512,567
184,1340,64,159
185,5204,256,427
186,4300,256,346
187,8564,512,588
188,7768,512,548
189,3312,256,276
190,8788,512,626
191,7624,512,540
192,8668,512,608
193,6876,512,480
194,6856,512,476
195,3664,256,304
196,6712,512,485
197,7044,512,491
198,3320,256,278
199,8444,512,597
200,6284,512,450
201,5444,512,382
202,5884,512,425
203,6332,512,457
204,6756,512,484
205,8536,512,579
206,2604,128,236
207,3108,256,250
208,7680,512,539
209,7800,512,552
210,7412,512,516
211,6184,512,437
212,8548,512,580
213,5856,512,405
214,12860,1024,781
215,3232,256,271
216,7208,512,516
217,13772,1024,844
218,9148,512,626
219,13736,1024,812
220,6820,512,498
221,8064,512,567
222,5564,512,391
223,3812,256,319
224,9648,512,666
225,7704,512,519
226,8280,512,587
227,4480,256,367
228,5760,512,407
229,8256,512,585
230,7784,512,549
231,4068,256,339
232,5240,512,377
233,12352,1024,766
234,6244,512,448
235,7380,512,514
236,7472,512,520
237,7460,512,515
238,6676,512,479
239,1780,128,181
240,5684,512,397
241,3460,256,280
242,7840,512,542
243,9728,512,672
244,6092,512,429
245,8072,512,557
246,7760,512,550
247,9504,512,643
248,9172,512,629
249,2580,128,244
250,3704,256,309
251,8216,512,576
252,8948,512,639
253,9044,512,612
254,8500,512,583
255,4020,256,332
256,8372,512,589
257,6988,512,490
258,6924,512,509
259,5664,512,403
260,12276,1024,744
261,7932,512,553
262,7920,512,552
263,6556,512,477
264,7804,512,553
265,5636,256,429
266,7404,512,515
267,6816,512,479
268,8976,512,618
269,13900,1024,815
270,8512,512,588
271,7716,512,533
272,7904,512,547
273,8240,512,578
274,8160,512,572
275,8096,512,558
276,8068,512,566
277,5836,512,413
278,5740,512,402
279,7920,512,550
280,6904,512,500
281,8232,512,580
282,5112,512,358
283,6412,512,452
284,6104,512,430
285,3420,256,280
286,6344,512,450
287,8148,512,570
288,5852,512,418
289,14200,1024,826
290,9664,512,666
291,6312,512,444
292,6464,512,460
293,7920,512,569
294,5288,512,363
295,1596,128,166
296,7812,512,544
297,8988,512,615
298,8516,512,589
299,3208,256,266
300,3888,256,316
301,9488,512,658
302,3608,256,305
303,8004,512,561
304,8932,512,643
305,7696,512,542
306,7984,512,563
307,1984,128,199
308,6584,512,476
309,6032,512,416
310,5936,256,455
311,3960,256,325
312,7944,512,552
313,6484,512,449
314,12096,1024,710
315,7412,512,510
316,7532,512,530
317,12208,1024,724
318,8104,512,564
319,8548,512,610
320,8928,512,638
321,8080,512,567
322,12176,1024,751
323,7540,512,531
324,17752,1024,1041
325,8476,512,599
326,3152,256,258
327,3464,256,286
328,12452,1024,752
329,5012,256,395
330,8216,512,576
331,7460,512,517
332,3784,256,316
333,13900,1024,842
334,8584,512,604
335,13532,1024,838
336,8168,512,564
337,13336,1024,827
338,4772,256,368
339,7676,512,538
340,6248,512,438
341,8148,512,551
342,7820,512,546
343,9316,512,641
344,9256,512,644
345,8872,512,621
346,7748,512,545
347,7648,512,537
348,9472,512,655
349,14128,1024,860
350,6988,512,491
351,8408,512,587
352,6012,512,426
353,3628,256,305
354,8628,512,573
355,6480,512,473
356,6348,512,446
357,14780,1024,869
358,8272,512,576
359,7320,512,494
360,15628,1024,907
361,7520,512,524
362,5992,512,421
363,6984,512,489
364,8860,512,600
365,9940,512,686
366,6836,512,477
367,4168,256,344
368,6520,512,472
369,7540,512,514
370,7192,512,498
371,3924,256,320
372,8360,512,591
373,6820,512,494
374,7784,512,553
375,13348,1024,799
376,8556,512,593
377,6384,256,487
378,9032,512,625
379,4080,256,327
380,12204,1024,726
381,8696,512,605
382,7176,512,495
383,12432,1024,739
384,14456,1024,849
385,8968,512,622
386,6604,512,484
387,10668,1024,631
388,3800,256,321
389,8248,512,585
390,7860,512,548
391,7624,512,535
392,8936,512,631
393,14208,1024,859
394,4820,256,389
395,9064,512,623
396,5364,512,374
397,6424,512,457
398,7632,512,528
399,6724,512,488
400,12496,1024,751
401,11100,1024,674
402,13172,1024,807
403,9720,512,666
404,13128,1024,801
405,14316,1024,859
406,8752,512,604
407,9072,512,615
408,7764,512,544
409,7512,512,529
410,7108,512,489
411,7816,512,556
412,3788,256,318
413,3892,256,327
414,9720,512,668
415,3628,256,299
416,8052,512,557
417,12968,1024,800
418,7824,512,551
419,8188,512,575
420,11980,1024,706
421,11068,1024,666
422,7788,512,549
423,8344,512,596
424,7940,512,561
425,7072,512,498
426,12852,1024,777
427,4124,256,339
428,8008,512,567
429,6892,512,497
430,7560,512,525
431,6872,512,481
432,8324,512,582
433,8152,512,576
434,8200,512,572
435,7160,512,506
436,8216,512,576
437,8176,512,578
438,4012,256,326
439,7828,512,540
440,6596,512,475
441,8204,512,564
442,8964,512,640
443,1928,128,198
444,12012,1024,717
445,8468,512,581
446,8256,512,575
447,13352,1024,819
448,2984,256,237
449,7632,512,527
450,12532,1024,749
451,9392,512,643
452,7472,512,529
453,3304,256,268
454,8628,512,604
455,10712,1024,641
456,4480,256,374
457,3844,256,321
458,11516,1024,698
459,9064,512,617
460,5688,512,402
461,7536,512,514
462,9556,512,621
463,7724,512,524
464,8240,512,579
465,8188,512,574
466,5880,512,422
467,9440,512,657
468,9196,512,634
469,5880,512,414
470,4152,256,310
471,15312,1024,906
472,4088,256,340
473,8536,512,597
474,8136,512,573
475,3544,256,301
476,5972,512,428
477,3416,256,285
478,9596,512,654
479,5680,512,391
480,13872,1024,838
481,7088,512,489
482,5036,256,416
483,6108,512,434
484,9652,512,621
485,15968,1024,931
486,8516,512,589
487,7824,512,539
488,12384,1024,723
489,13556,1024,820
490,12004,1024,698
491,3788,256,323
492,4416,256,363
493,5948,512,427
494,13472,1024,822
495,7184,512,492
496,7116,512,483
497,8600,512,605
498,4580,256,367
499,8584,512,593
500,11256,1024,667
501,3316,256,276
502,4008,256,337
503,8232,512,584
504,6836,512,458
505,8260,512,561
506,7452,512,513
507,7660,512,533
508,11092,1024,662
509,8176,512,571
510,8256,512,580
511,12908,1024,790
512,6052,512,436
513,16348,1024,967
514,7764,512,529
515,5712,512,401
516,3544,256,302
517,6300,512,446
518,7216,512,519
519,12244,1024,733
520,12576,1024,760
521,6028,512,431
522,8652,512,610
523,15564,1024,900
524,8084,512,560
525,7704,512,529
526,9420,512,643
527,6716,512,466
528,8156,512,567
529,5792,512,416
530,9680,512,629
531,7264,512,500
532,12112,1024,720
533,7704,512,533
534,12160,1024,730
535,8372,512,573
536,8712,512,547
537,8188,512,570
538,8192,512,570
539,13380,1024,792
540,14176,1024,821
541,8892,512,603
542,12292,1024,735
543,7432,512,514
544,6932,512,481
545,14272,1024,864
546,7088,512,481
547,12012,1024,711
548,10448,1024,608
549,12344,1024,741
550,1904,128,195
551,11660,1024,687
552,11844,1024,713
553,8452,512,593
554,3432,256,290
555,8264,512,577
556,8508,512,586
557,14308,1024,876
558,9904,512,663
559,7532,512,523
560,5860,512,420
561,18424,1024,1064
562,5788,512,413
563,16124,1024,970
564,7300,512,494
565,8724,512,607
566,6508,512,441
567,4216,256,346
568,8236,512,581
569,4312,256,353
570,6696,512,459
571,9224,512,622
572,14648,1024,892
573,7748,512,530
574,5452,512,384
575,8556,512,590
576,6512,512,471
577,3600,256,292
578,7252,512,508
579,8844,512,622
580,8068,512,561
581,8508,512,591
582,8948,512,616
583,8276,512,587
584,5312,256,415
585,18764,1024,1123
586,8676,512,608
587,7124,512,485
588,6792,512,473
589,5868,512,422
590,4244,256,353
591,8540,512,575
592,8648,512,610
593,8196,512,554
594,6652,512,474
595,3628,256,300
596,12204,1024,726
597,8064,512,556
598,10224,512,663
599,6220,512,445
600,3460,256,290
601,7744,512,536
602,18896,1024,1103
603,9488,512,658
604,8160,512,567
605,16056,1024,957
606,8556,512,598
607,8864,512,595
608,5636,512,393
609,9528,512,649
610,7824,512,555
611,8900,512,606
612,14904,1024,894
613,12276,1024,732
614,12404,1024,744
615,7128,512,501
616,7896,512,545
617,7352,512,503
618,6700,512,475
619,7356,512,510
620,3972,256,327
621,5628,256,428
622,8784,512,612
623,14700,1024,856
624,3852,256,330
625,7592,512,532
626,14460,1024,843
627,5660,512,393
628,5052,256,385
629,15708,1024,918
630,9564,512,654
631,3820,256,325
632,7720,512,548
633,5916,512,419
634,9244,512,635
635,16808,1024,997
636,8644,512,593
637,11184,1024,668
638,8800,512,616
639,8156,512,566
640,8892,512,603
641,8528,512,585
642,6412,512,457
643,9552,512,643
644,26080,2048,1337
645,7540,512,533
646,12244,1024,721
647,8240,512,576
648,5640,512,399
649,8676,512,602
650,8272,512,591
651,14496,1024,853
652,11480,1024,675
653,5944,512,425
654,7796,512,537
655,6292,512,449
656,7860,512,540
657,8752,512,586
658,10444,512,667
659,2748,256,231
660,8120,512,569
661,13136,1024,800
662,16772,1024,1004
663,4644,256,391
664,6660,512,462
665,6656,512,460
666,3680,256,297
667,15652,1024,913
668,8248,512,564
669,8084,512,561
670,5992,512,426
671,8916,512,608
672,14828,1024,900
673,15824,1024,947
674,7900,512,546
675,9940,512,687
676,11392,1024,683
677,9228,512,638
678,3404,256,283
679,8852,512,597
680,8924,512,611
681,8172,512,571
682,8812,512,618
683,8068,512,560
684,7464,512,518
685,7936,512,551
686,3988,256,337
687,14160,1024,858
688,14456,1024,847
689,8224,512,564
690,5092,512,364
691,7368,512,509
692,13736,1024,845
693,9896,512,632
694,8176,512,571
695,7784,512,538
696,7064,512,481
697,8208,512,580
698,14004,1024,810
699,3472,256,287
700,7400,512,512
701,3876,256,327
702,13184,1024,796
703,14856,1024,912
704,14424,1024,845
705,3632,256,300
706,8652,512,606
707,7296,512,501
708,9228,512,637
709,9112,512,621
710,13288,1024,816
711,6416,512,448
712,12884,1024,774
713,8044,512,555
714,8940,512,614
715,10152,512,646
716,7028,512,474
717,13316,1024,826
718,15344,1024,903
719,14588,1024,890
720,15368,1024,894
721,8184,512,569
722,8816,512,616
723,3828,256,323
724,10776,1024,642
725,27536,2048,1433
726,9184,512,631
727,16056,1024,943
728,8076,512,563
729,7152,512,507
730,7844,512,540
731,9420,512,653
732,9076,512,616
733,5372,512,376
734,8612,512,607
735,6556,512,470
736,10116,512,657
737,16160,1024,958
738,14424,1024,838
739,4620,256,351
740,23608,2048,1215
741,14680,1024,898
742,14040,1024,839
743,15868,1024,942
744,8572,512,599
745,8904,512,605
746,8316,512,555
747,8320,512,586
748,8364,512,579
749,8172,512,551
750,8136,512,562
751,9096,512,621
752,9284,512,639
753,13712,1024,847
